"chuva";"dia"
"44,6";"2022-04-01"
"3,6";"2022-04-02"
"0";"2022-04-03"
"0";"2022-04-04"
"5,4";"2022-04-05"
"0";"2022-04-06"
"1";"2022-04-07"
"0";"2022-04-08"
"0";"2022-04-09"
"4,2";"2022-04-10"
"0";"2022-04-11"
"0";"2022-04-12"
"0";"2022-04-13"
"0";"2022-04-14"
"0";"2022-04-15"
"0";"2022-04-16"
"0,8";"2022-04-17"
"10,6";"2022-04-18"
"5,4";"2022-04-19"
"11,6";"2022-04-20"
"18";"2022-04-21"
"2,6";"2022-04-22"
"7,4";"2022-04-23"
"0,4";"2022-04-24"
"7";"2022-04-25"
"0";"2022-04-26"
"10";"2022-04-27"
"21,2";"2022-04-28"
"5,4";"2022-04-29"
"22,4";"2022-04-30"
